,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-06,SH600176,SH688396,SZ300442,SZ300394,SH600016,SH600489,SH688256,SH601169,SZ002028,SZ300316,SZ002493,SH600029,SH600377,SH601229,SH603986,SZ300408,SZ000157,SZ300274,SZ000338,SH600547,SH688082,SH601009,SH600015,SH601899,SH688187,SZ002142,SZ000630,SH601077,SH601328,SH601939,SH601166,SZ000975,SH601111,SZ000408,SH601825,SH600941,SZ300308,SH600115,SH600346,SH601236,SH601816,SH688008,SH601916,SH601898,SZ000895,SH600893,SH600919,SH600482,SH600000,SZ002736,0.012061011046171188,0.012848139,0.56,0.010941011046171189,1.0109410110461712,1.0128481,1.0109410110461712,0.0
1,2026-03-09,SZ300394,SH688256,SH688082,SH601877,SH688396,SH600522,SH601888,SH600015,SZ300316,SH600115,SH688111,SH600406,SH600029,SH601077,SH603993,SH600176,SH601601,SZ300408,SH601006,SH600489,SH601336,SH603195,SH601816,SH600036,SZ000630,SZ002938,SH688008,SH600926,SH600183,SH601111,SH601018,SH601628,SH601398,SH603799,SH600362,SH601328,SH600016,SH601988,SH601166,SH600941,SH600018,SZ002252,SZ300433,SH600919,SH601818,SH601021,SZ000538,SH601658,SH605117,SZ300442,0.0011371278669685125,0.006361842,0.6,-6.287213303148736e-05,1.0108774510284377,1.0192918,1.0109410110461712,-6.287213303145044e-05
2,2026-03-10,SH600893,SH600029,SH600188,SH600115,SH600176,SZ002028,SZ002001,SH601898,SH601111,SZ300782,SZ002493,SH600522,SH601888,SH688223,SH600482,SZ002311,SH600015,SH600000,SH601018,SH688082,SH600426,SZ000157,SH601006,SH600919,SZ000338,SH600036,SZ000895,SH601825,SH600066,SZ000425,SH601166,SH600941,SH688012,SH600926,SZ300661,SH600025,SZ002371,SH600016,SH600900,SH603195,SZ000301,SH601009,SZ000999,SZ300394,SH601077,SH600309,SZ002709,SH688396,SH600887,SH601169,-0.0014288520906120539,-0.0036008358,0.68,-0.002788852090612054,1.0080582633357844,1.0156214,1.0109410110461712,-0.0028515488825639392
3,2026-03-11,SH601872,SH600026,SZ002709,SZ300274,SH601018,SH600115,SH603195,SH600029,SH600015,SH601816,SH688009,SH600010,SH601818,SZ300661,SH601328,SH600875,SZ002415,SH601669,SH601658,SH601808,SH600233,SZ300014,SH600887,SZ000538,SZ002736,SH600036,SZ000333,SH600176,SZ000792,SH601939,SH600941,SH600674,SH600600,SZ002142,SH600050,SZ002352,SZ000001,SH600016,SH601166,SZ000651,SH600346,SH601398,SH601236,SH600377,SH601111,SH600111,SZ300408,SZ000425,SH600025,SZ300251,-0.0008686769288033247,-0.0039295554,0.66,-0.0021886769288033247,1.0058519494719318,1.0116305,1.0109410110461712,-0.005033984692116679
4,2026-03-12,SH600893,SH600029,SH600482,SH600115,SH600346,SZ002493,SH600875,SH601872,SH600176,SH603993,SH688396,SZ300394,SZ300251,SZ002001,SZ300408,SH600188,SH600522,SZ000301,SZ300442,SH603986,SH688256,SH601328,SH601816,SZ002028,SZ000338,SH600919,SZ300308,SH600362,SH600690,SH601138,SH688008,SH601021,SH601888,SH601658,SH601009,SH600016,SH600900,SH601398,SH600036,SH688111,SZ300347,SZ000895,SH600026,SZ002252,SH601229,SH601668,SH601166,SH600015,SH601169,SZ300832,-0.00039568901411257684,0.000518322,0.34,-0.0010756890141125769,1.004769965580061,1.0121549,1.0109410110461712,-0.006104258704198811
5,2026-03-13,SH688396,SZ300394,SH600482,SH600893,SH600026,SZ002001,SH600176,SH600029,SH600522,SH600875,SH601872,SH600115,SZ002938,SZ300251,SZ000792,SH601117,SZ300442,SZ002028,SZ002493,SH601816,SZ300418,SH601838,SH600919,SH603993,SH600010,SH600900,SH600233,SH601888,SZ300274,SH600438,SH600600,SH600887,SH601169,SH605499,SH601009,SH600016,SH600036,SZ002916,SZ000338,SH688008,SH601288,SH601818,SH601398,SH601021,SH601166,SH601658,SZ300999,SH688082,SH600690,SH600362,-0.012966408394277096,-0.0073037744,0.56,-0.014086408394277095,0.9906163655025966,1.0047624,1.0109410110461712,-0.02010468001742423
6,2026-03-16,SH600875,SH600482,SH600176,SZ300394,SH600893,SZ000338,SH688396,SH600115,SH603993,SH688506,SH600010,SH601838,SH600029,SH601100,SH601888,SZ300418,SH688256,SZ300316,SZ002028,SH601009,SZ000333,SH603019,SH600160,SZ002493,SZ000768,SZ002049,SZ300347,SZ000063,SH601006,SZ002600,SZ002594,SH600023,SH603259,SH601816,SH600027,SZ000157,SZ300033,SH600795,SZ002422,SH600276,SH601166,SZ002001,SH601018,SH600016,SH688041,SZ002241,SH600900,SH601236,SH601916,SZ300433,0.0063682617619633675,0.0045046806,0.76,0.004848261761963367,0.995419132948238,1.0092885,1.0109410110461712,-0.015353891006825762
7,2026-03-17,SZ002001,SH600482,SH601877,SH600522,SH600875,SZ300394,SH600188,SH600176,SZ001979,SH600029,SH601111,SH601838,SH600010,SH600048,SH603195,SZ002648,SH600690,SZ000538,SH600660,SH600941,SZ300408,SZ000999,SH600585,SH601229,SH601298,SH688223,SH601939,SH600900,SZ000983,SZ002493,SH601169,SH600346,SZ000596,SZ002371,SH603993,SH600023,SH600919,SH601021,SH600377,SZ002938,SH600036,SZ002601,SH601669,SH601818,SH688981,SH600938,SH688082,SH600741,SZ002920,SH688303,-0.017344171181321144,-0.016117394,0.56,-0.018464171181321144,0.9770395436803195,0.9930214,1.0109410110461712,-0.033534565316297484
8,2026-03-18,SZ300394,SH600188,SH600522,SZ002001,SH601898,SH603993,SH600176,SH600482,SH600362,SZ300251,SH600029,SH601888,SH601877,SH688223,SZ002493,SH688396,SH600023,SH600941,SH601018,SH600115,SH600025,SH600919,SH601868,SH601009,SH601818,SH601939,SH601988,SH600016,SH601111,SH600027,SH603799,SH600900,SH600036,SH600018,SH600875,SH601916,SH600515,SH600887,SH601088,SH601328,SH601816,SZ000157,SH601166,SH601229,SH600377,SH601872,SH601236,SH600600,SZ300316,SZ000895,-0.00584257859736681,-0.0035411716,0.26,-0.0063625785973668095,0.9708230527909182,0.989505,1.0109410110461712,-0.039683777606110734
9,2026-03-19,SH600522,SZ300394,SH600188,SH600029,SH600176,SZ000630,SH600115,SH600875,SH603993,SH600362,SH600489,SZ002493,SH600482,SH603799,SH601877,SZ002001,SZ300251,SH600941,SH600025,SH600919,SH601229,SH605117,SH601888,SH600023,SH600219,SH600010,SH601868,SH601328,SH600036,SH601018,SZ000538,SH601009,SZ000895,SH688396,SH601988,SH600900,SH601166,SZ000651,SH601658,SZ300316,SH601816,SZ002384,SH601600,SH603195,SH600600,SH601006,SH600027,SH688223,SH601111,SZ300750,-0.032165464013814926,-0.03262955,0.32,-0.03280546401381493,0.9389747520688038,0.9572179,1.0109410110461712,-0.07118739688173617
